,report_date,year,month,Year-Month,family_with_children_shelter
969,2024-09-30,2024,9,2024-09,1518
970,2024-09-30,2024,9,2024-09,380
971,2024-09-30,2024,9,2024-09,408
972,2024-09-30,2024,9,2024-09,1948
973,2024-09-30,2024,9,2024-09,1468
974,2024-09-30,2024,9,2024-09,2169
975,2024-09-30,2024,9,2024-09,1269
976,2024-09-30,2024,9,2024-09,802
977,2024-09-30,2024,9,2024-09,1231
978,2024-09-30,2024,9,2024-09,0
979,2024-09-30,2024,9,2024-09,582
980,2024-09-30,2024,9,2024-09,557
981,2024-09-30,2024,9,2024-09,0
982,2024-09-30,2024,9,2024-09,362
983,2024-09-30,2024,9,2024-09,296
984,2024-09-30,2024,9,2024-09,787
985,2024-09-30,2024,9,2024-09,542
986,2024-09-30,2024,9,2024-09,234
987,2024-09-30,2024,9,2024-09,0
988,2024-09-30,2024,9,2024-09,0
989,2024-09-30,2024,9,2024-09,278
990,2024-09-30,2024,9,2024-09,0
991,2024-09-30,2024,9,2024-09,491
992,2024-09-30,2024,9,2024-09,0
993,2024-09-30,2024,9,2024-09,0
994,2024-09-30,2024,9,2024-09,0
995,2024-09-30,2024,9,2024-09,0
996,2024-09-30,2024,9,2024-09,1389
997,2024-09-30,2024,9,2024-09,0
998,2024-09-30,2024,9,2024-09,836
999,2024-08-31,2024,8,2024-08,331
1000,2024-08-31,2024,8,2024-08,0
1001,2024-08-31,2024,8,2024-08,0
1002,2024-08-31,2024,8,2024-08,709
1003,2024-08-31,2024,8,2024-08,622
1004,2024-08-31,2024,8,2024-08,551
1005,2024-08-31,2024,8,2024-08,0
1006,2024-08-31,2024,8,2024-08,356
1007,2024-08-31,2024,8,2024-08,291
1008,2024-08-31,2024,8,2024-08,744
1009,2024-08-31,2024,8,2024-08,517
1010,2024-08-31,2024,8,2024-08,242
1011,2024-08-31,2024,8,2024-08,0
1012,2024-08-31,2024,8,2024-08,0
1013,2024-08-31,2024,8,2024-08,290
1014,2024-08-31,2024,8,2024-08,0
1015,2024-08-31,2024,8,2024-08,0
1016,2024-08-31,2024,8,2024-08,0
1017,2024-08-31,2024,8,2024-08,1403
1018,2024-08-31,2024,8,2024-08,876
1019,2024-08-31,2024,8,2024-08,166
1020,2024-08-31,2024,8,2024-08,443
1021,2024-08-31,2024,8,2024-08,0
1022,2024-08-31,2024,8,2024-08,1047
1023,2024-08-31,2024,8,2024-08,381
1024,2024-08-31,2024,8,2024-08,111
1025,2024-08-31,2024,8,2024-08,0
1026,2024-08-31,2024,8,2024-08,0
1027,2024-08-31,2024,8,2024-08,860
1028,2024-08-31,2024,8,2024-08,1590
1029,2024-08-31,2024,8,2024-08,2370
1030,2024-08-31,2024,8,2024-08,189
1031,2024-08-31,2024,8,2024-08,92
1032,2024-08-31,2024,8,2024-08,363
1033,2024-08-31,2024,8,2024-08,129
1034,2024-08-31,2024,8,2024-08,0
1035,2024-08-31,2024,8,2024-08,0
1036,2024-08-31,2024,8,2024-08,344
1037,2024-08-31,2024,8,2024-08,384
1038,2024-08-31,2024,8,2024-08,363
1039,2024-08-31,2024,8,2024-08,571
1040,2024-08-31,2024,8,2024-08,524
1041,2024-08-31,2024,8,2024-08,767
1042,2024-08-31,2024,8,2024-08,407
1043,2024-08-31,2024,8,2024-08,75
1044,2024-08-31,2024,8,2024-08,0
1045,2024-08-31,2024,8,2024-08,769
1046,2024-08-31,2024,8,2024-08,0
1047,2024-08-31,2024,8,2024-08,540
1048,2024-08-31,2024,8,2024-08,1568
1049,2024-08-31,2024,8,2024-08,183
1050,2024-08-31,2024,8,2024-08,418
1051,2024-08-31,2024,8,2024-08,1986
1052,2024-08-31,2024,8,2024-08,1562
1053,2024-08-31,2024,8,2024-08,2122
1054,2024-08-31,2024,8,2024-08,1356
1055,2024-08-31,2024,8,2024-08,760
1056,2024-08-31,2024,8,2024-08,1238
1057,2024-08-31,2024,8,2024-08,584
1058,2024-08-31,2024,8,2024-08,0
1059,2024-07-31,2024,7,2024-07,0
1060,2024-07-31,2024,7,2024-07,793
1061,2024-07-31,2024,7,2024-07,169
1062,2024-07-31,2024,7,2024-07,390
1063,2024-07-31,2024,7,2024-07,0
1064,2024-07-31,2024,7,2024-07,0
1065,2024-07-31,2024,7,2024-07,0
1066,2024-07-31,2024,7,2024-07,0
1067,2024-07-31,2024,7,2024-07,1348
1068,2024-07-31,2024,7,2024-07,0
1069,2024-07-31,2024,7,2024-07,1215
1070,2024-07-31,2024,7,2024-07,752
1071,2024-07-31,2024,7,2024-07,1292
1072,2024-07-31,2024,7,2024-07,2124
1073,2024-07-31,2024,7,2024-07,1559
1074,2024-07-31,2024,7,2024-07,2014
1075,2024-07-31,2024,7,2024-07,434
1076,2024-07-31,2024,7,2024-07,180
1077,2024-07-31,2024,7,2024-07,1548
1078,2024-07-31,2024,7,2024-07,561
1079,2024-07-31,2024,7,2024-07,0
1080,2024-07-31,2024,7,2024-07,655
1081,2024-07-31,2024,7,2024-07,0
1082,2024-07-31,2024,7,2024-07,71
1083,2024-07-31,2024,7,2024-07,418
1084,2024-07-31,2024,7,2024-07,782
1085,2024-07-31,2024,7,2024-07,516
1086,2024-07-31,2024,7,2024-07,571
1087,2024-07-31,2024,7,2024-07,332
1088,2024-07-31,2024,7,2024-07,355
1089,2024-07-31,2024,7,2024-07,348
1090,2024-07-31,2024,7,2024-07,0
1091,2024-07-31,2024,7,2024-07,0
1092,2024-07-31,2024,7,2024-07,141
1093,2024-07-31,2024,7,2024-07,363
1094,2024-07-31,2024,7,2024-07,91
1095,2024-07-31,2024,7,2024-07,204
1096,2024-07-31,2024,7,2024-07,2314
1097,2024-07-31,2024,7,2024-07,1596
1098,2024-07-31,2024,7,2024-07,843
1099,2024-07-31,2024,7,2024-07,0
1100,2024-07-31,2024,7,2024-07,0
1101,2024-07-31,2024,7,2024-07,110
1102,2024-07-31,2024,7,2024-07,360
1103,2024-07-31,2024,7,2024-07,1014
1104,2024-07-31,2024,7,2024-07,561
1105,2024-07-31,2024,7,2024-07,346
1106,2024-07-31,2024,7,2024-07,0
1107,2024-07-31,2024,7,2024-07,694
1108,2024-07-31,2024,7,2024-07,592
1109,2024-07-31,2024,7,2024-07,534
1110,2024-07-31,2024,7,2024-07,0
1111,2024-07-31,2024,7,2024-07,344
1112,2024-07-31,2024,7,2024-07,297
1113,2024-07-31,2024,7,2024-07,730
1114,2024-07-31,2024,7,2024-07,510
1115,2024-07-31,2024,7,2024-07,240
1116,2024-07-31,2024,7,2024-07,0
1117,2024-07-31,2024,7,2024-07,0
1118,2024-07-31,2024,7,2024-07,282
1119,2024-06-30,2024,6,2024-06,190
1120,2024-06-30,2024,6,2024-06,842
1121,2024-06-30,2024,6,2024-06,1237
1122,2024-06-30,2024,6,2024-06,0
1123,2024-06-30,2024,6,2024-06,0
1124,2024-06-30,2024,6,2024-06,339
1125,2024-06-30,2024,6,2024-06,167
1126,2024-06-30,2024,6,2024-06,803
1127,2024-06-30,2024,6,2024-06,1333
1128,2024-06-30,2024,6,2024-06,0
1129,2024-06-30,2024,6,2024-06,0
1130,2024-06-30,2024,6,2024-06,0
1131,2024-06-30,2024,6,2024-06,276
1132,2024-06-30,2024,6,2024-06,0
1133,2024-06-30,2024,6,2024-06,0
1134,2024-06-30,2024,6,2024-06,246
1135,2024-06-30,2024,6,2024-06,514
1136,2024-06-30,2024,6,2024-06,743
1137,2024-06-30,2024,6,2024-06,292
1138,2024-06-30,2024,6,2024-06,352
1139,2024-06-30,2024,6,2024-06,0
1140,2024-06-30,2024,6,2024-06,502
1141,2024-06-30,2024,6,2024-06,588
1142,2024-06-30,2024,6,2024-06,690
1143,2024-06-30,2024,6,2024-06,0
1144,2024-06-30,2024,6,2024-06,334
1145,2024-06-30,2024,6,2024-06,512
1146,2024-06-30,2024,6,2024-06,1019
1147,2024-06-30,2024,6,2024-06,354
1148,2024-06-30,2024,6,2024-06,101
1149,2024-06-30,2024,6,2024-06,0
1150,2024-06-30,2024,6,2024-06,0
1151,2024-06-30,2024,6,2024-06,1584
1152,2024-06-30,2024,6,2024-06,2341
1153,2024-06-30,2024,6,2024-06,191
1154,2024-06-30,2024,6,2024-06,89
1155,2024-06-30,2024,6,2024-06,377
1156,2024-06-30,2024,6,2024-06,130
1157,2024-06-30,2024,6,2024-06,0
1158,2024-06-30,2024,6,2024-06,751
1159,2024-06-30,2024,6,2024-06,0
1160,2024-06-30,2024,6,2024-06,318
1161,2024-06-30,2024,6,2024-06,326
1162,2024-06-30,2024,6,2024-06,329
1163,2024-06-30,2024,6,2024-06,545
1164,2024-06-30,2024,6,2024-06,501
1165,2024-06-30,2024,6,2024-06,787
1166,2024-06-30,2024,6,2024-06,421
1167,2024-06-30,2024,6,2024-06,66
1168,2024-06-30,2024,6,2024-06,0
1169,2024-06-30,2024,6,2024-06,528
1170,2024-06-30,2024,6,2024-06,0
1171,2024-06-30,2024,6,2024-06,439
1172,2024-06-30,2024,6,2024-06,2008
1173,2024-06-30,2024,6,2024-06,525
1174,2024-06-30,2024,6,2024-06,1567
1175,2024-06-30,2024,6,2024-06,2115
1176,2024-06-30,2024,6,2024-06,1335
1177,2024-06-30,2024,6,2024-06,0
1178,2024-06-30,2024,6,2024-06,1532
1179,2024-05-31,2024,5,2024-05,0
1180,2024-05-31,2024,5,2024-05,1237
1181,2024-05-31,2024,5,2024-05,1289
1182,2024-05-31,2024,5,2024-05,2120
1183,2024-05-31,2024,5,2024-05,1845
1184,2024-05-31,2024,5,2024-05,1962
1185,2024-05-31,2024,5,2024-05,439
1186,2024-05-31,2024,5,2024-05,185
1187,2024-05-31,2024,5,2024-05,1366
1188,2024-05-31,2024,5,2024-05,525
1189,2024-05-31,2024,5,2024-05,0
1190,2024-05-31,2024,5,2024-05,532
1191,2024-05-31,2024,5,2024-05,0
1192,2024-05-31,2024,5,2024-05,67
1193,2024-05-31,2024,5,2024-05,437
1194,2024-05-31,2024,5,2024-05,784
1195,2024-05-31,2024,5,2024-05,473
1196,2024-05-31,2024,5,2024-05,509
1197,2024-05-31,2024,5,2024-05,330
1198,2024-05-31,2024,5,2024-05,310
1199,2024-05-31,2024,5,2024-05,324
1200,2024-05-31,2024,5,2024-05,0
1201,2024-05-31,2024,5,2024-05,0
1202,2024-05-31,2024,5,2024-05,127
1203,2024-05-31,2024,5,2024-05,365
1204,2024-05-31,2024,5,2024-05,77
1205,2024-05-31,2024,5,2024-05,468
1206,2024-05-31,2024,5,2024-05,2250
1207,2024-05-31,2024,5,2024-05,1546
1208,2024-05-31,2024,5,2024-05,1001
1209,2024-05-31,2024,5,2024-05,0
1210,2024-05-31,2024,5,2024-05,0
1211,2024-05-31,2024,5,2024-05,106
1212,2024-05-31,2024,5,2024-05,357
1213,2024-05-31,2024,5,2024-05,1028
1214,2024-05-31,2024,5,2024-05,503
1215,2024-05-31,2024,5,2024-05,330
1216,2024-05-31,2024,5,2024-05,680
1217,2024-05-31,2024,5,2024-05,589
1218,2024-05-31,2024,5,2024-05,501
1219,2024-05-31,2024,5,2024-05,0
1220,2024-05-31,2024,5,2024-05,665
1221,2024-05-31,2024,5,2024-05,268
1222,2024-05-31,2024,5,2024-05,760
1223,2024-05-31,2024,5,2024-05,507
1224,2024-05-31,2024,5,2024-05,227
1225,2024-05-31,2024,5,2024-05,0
1226,2024-05-31,2024,5,2024-05,0
1227,2024-05-31,2024,5,2024-05,298
1228,2024-05-31,2024,5,2024-05,0
1229,2024-05-31,2024,5,2024-05,0
1230,2024-05-31,2024,5,2024-05,0
1231,2024-05-31,2024,5,2024-05,2149
1232,2024-05-31,2024,5,2024-05,801
1233,2024-05-31,2024,5,2024-05,174
1234,2024-05-31,2024,5,2024-05,327
1235,2024-05-31,2024,5,2024-05,0
1236,2024-05-31,2024,5,2024-05,0
1237,2024-05-31,2024,5,2024-05,0
1238,2024-05-31,2024,5,2024-05,789
1239,2024-04-30,2024,4,2024-04,0
1240,2024-04-30,2024,4,2024-04,0
1241,2024-04-30,2024,4,2024-04,2199
1242,2024-04-30,2024,4,2024-04,817
1243,2024-04-30,2024,4,2024-04,164
1244,2024-04-30,2024,4,2024-04,316
1245,2024-04-30,2024,4,2024-04,0
1246,2024-04-30,2024,4,2024-04,0
1247,2024-04-30,2024,4,2024-04,0
1248,2024-04-30,2024,4,2024-04,135
1249,2024-04-30,2024,4,2024-04,1239
1250,2024-04-30,2024,4,2024-04,795
1251,2024-04-30,2024,4,2024-04,1275
1252,2024-04-30,2024,4,2024-04,2134
1253,2024-04-30,2024,4,2024-04,1856
1254,2024-04-30,2024,4,2024-04,1988
1255,2024-04-30,2024,4,2024-04,438
1256,2024-04-30,2024,4,2024-04,203
1257,2024-04-30,2024,4,2024-04,1279
1258,2024-04-30,2024,4,2024-04,533
1259,2024-04-30,2024,4,2024-04,0
1260,2024-04-30,2024,4,2024-04,556
1261,2024-04-30,2024,4,2024-04,0
1262,2024-04-30,2024,4,2024-04,72
1263,2024-04-30,2024,4,2024-04,439
1264,2024-04-30,2024,4,2024-04,801
1265,2024-04-30,2024,4,2024-04,513
1266,2024-04-30,2024,4,2024-04,519
1267,2024-04-30,2024,4,2024-04,331
1268,2024-04-30,2024,4,2024-04,313
1269,2024-04-30,2024,4,2024-04,341
1270,2024-04-30,2024,4,2024-04,0
1271,2024-04-30,2024,4,2024-04,0
1272,2024-04-30,2024,4,2024-04,396
1273,2024-04-30,2024,4,2024-04,74
1274,2024-04-30,2024,4,2024-04,471
1275,2024-04-30,2024,4,2024-04,2331
1276,2024-04-30,2024,4,2024-04,1564
1277,2024-04-30,2024,4,2024-04,1005
1278,2024-04-30,2024,4,2024-04,0
1279,2024-04-30,2024,4,2024-04,0
1280,2024-04-30,2024,4,2024-04,99
1281,2024-04-30,2024,4,2024-04,357
1282,2024-04-30,2024,4,2024-04,1035
1283,2024-04-30,2024,4,2024-04,532
1284,2024-04-30,2024,4,2024-04,347
1285,2024-04-30,2024,4,2024-04,0
1286,2024-04-30,2024,4,2024-04,707
1287,2024-04-30,2024,4,2024-04,578
1288,2024-04-30,2024,4,2024-04,508
1289,2024-04-30,2024,4,2024-04,0
1290,2024-04-30,2024,4,2024-04,709
1291,2024-04-30,2024,4,2024-04,300
1292,2024-04-30,2024,4,2024-04,790
1293,2024-04-30,2024,4,2024-04,541
1294,2024-04-30,2024,4,2024-04,228
1295,2024-04-30,2024,4,2024-04,0
1296,2024-04-30,2024,4,2024-04,0
1297,2024-04-30,2024,4,2024-04,294
1298,2024-04-30,2024,4,2024-04,0
1299,2024-03-31,2024,3,2024-03,0
1300,2024-03-31,2024,3,2024-03,837
1301,2024-03-31,2024,3,2024-03,172
1302,2024-03-31,2024,3,2024-03,286
1303,2024-03-31,2024,3,2024-03,0
1304,2024-03-31,2024,3,2024-03,0
1305,2024-03-31,2024,3,2024-03,0
1306,2024-03-31,2024,3,2024-03,1336
1307,2024-03-31,2024,3,2024-03,1206
1308,2024-03-31,2024,3,2024-03,0
1309,2024-03-31,2024,3,2024-03,0
1310,2024-03-31,2024,3,2024-03,0
1311,2024-03-31,2024,3,2024-03,304
1312,2024-03-31,2024,3,2024-03,0
1313,2024-03-31,2024,3,2024-03,0
1314,2024-03-31,2024,3,2024-03,834
1315,2024-03-31,2024,3,2024-03,255
1316,2024-03-31,2024,3,2024-03,521
1317,2024-03-31,2024,3,2024-03,821
1318,2024-03-31,2024,3,2024-03,288
1319,2024-03-31,2024,3,2024-03,727
1320,2024-03-31,2024,3,2024-03,0
1321,2024-03-31,2024,3,2024-03,512
1322,2024-03-31,2024,3,2024-03,569
1323,2024-03-31,2024,3,2024-03,747
1324,2024-03-31,2024,3,2024-03,0
1325,2024-03-31,2024,3,2024-03,526
1326,2024-03-31,2024,3,2024-03,507
1327,2024-03-31,2024,3,2024-03,1006
1328,2024-03-31,2024,3,2024-03,368
1329,2024-03-31,2024,3,2024-03,105
1330,2024-03-31,2024,3,2024-03,0
1331,2024-03-31,2024,3,2024-03,0
1332,2024-03-31,2024,3,2024-03,1005
1333,2024-03-31,2024,3,2024-03,1565
1334,2024-03-31,2024,3,2024-03,2365
1335,2024-03-31,2024,3,2024-03,469
1336,2024-03-31,2024,3,2024-03,84
1337,2024-03-31,2024,3,2024-03,405
1338,2024-03-31,2024,3,2024-03,132
1339,2024-03-31,2024,3,2024-03,0
1340,2024-03-31,2024,3,2024-03,0
1341,2024-03-31,2024,3,2024-03,361
1342,2024-03-31,2024,3,2024-03,314
1343,2024-03-31,2024,3,2024-03,333
1344,2024-03-31,2024,3,2024-03,528
1345,2024-03-31,2024,3,2024-03,516
1346,2024-03-31,2024,3,2024-03,794
1347,2024-03-31,2024,3,2024-03,424
1348,2024-03-31,2024,3,2024-03,69
1349,2024-03-31,2024,3,2024-03,0
1350,2024-03-31,2024,3,2024-03,559
1351,2024-03-31,2024,3,2024-03,2245
1352,2024-03-31,2024,3,2024-03,536
1353,2024-03-31,2024,3,2024-03,1173
1354,2024-03-31,2024,3,2024-03,213
1355,2024-03-31,2024,3,2024-03,441
1356,2024-03-31,2024,3,2024-03,1985
1357,2024-03-31,2024,3,2024-03,1833
1358,2024-03-31,2024,3,2024-03,2149
1359,2024-02-29,2024,2,2024-02,0
1360,2024-02-29,2024,2,2024-02,0
1361,2024-02-29,2024,2,2024-02,0
1362,2024-02-29,2024,2,2024-02,285
1363,2024-02-29,2024,2,2024-02,176
1364,2024-02-29,2024,2,2024-02,847
1365,2024-02-29,2024,2,2024-02,2246
1366,2024-02-29,2024,2,2024-02,0
1367,2024-02-29,2024,2,2024-02,0
1368,2024-02-29,2024,2,2024-02,0
1369,2024-02-29,2024,2,2024-02,313
1370,2024-02-29,2024,2,2024-02,0
1371,2024-02-29,2024,2,2024-02,0
1372,2024-02-29,2024,2,2024-02,259
1373,2024-02-29,2024,2,2024-02,857
1374,2024-02-29,2024,2,2024-02,312
1375,2024-02-29,2024,2,2024-02,725
1376,2024-02-29,2024,2,2024-02,0
1377,2024-02-29,2024,2,2024-02,509
1378,2024-02-29,2024,2,2024-02,565
1379,2024-02-29,2024,2,2024-02,737
1380,2024-02-29,2024,2,2024-02,0
1381,2024-02-29,2024,2,2024-02,532
1382,2024-02-29,2024,2,2024-02,449
1383,2024-02-29,2024,2,2024-02,1014
1384,2024-02-29,2024,2,2024-02,379
1385,2024-02-29,2024,2,2024-02,110
1386,2024-02-29,2024,2,2024-02,0
1387,2024-02-29,2024,2,2024-02,0
1388,2024-02-29,2024,2,2024-02,1015
1389,2024-02-29,2024,2,2024-02,1547
1390,2024-02-29,2024,2,2024-02,2455
1391,2024-02-29,2024,2,2024-02,499
1392,2024-02-29,2024,2,2024-02,88
1393,2024-02-29,2024,2,2024-02,429
1394,2024-02-29,2024,2,2024-02,142
1395,2024-02-29,2024,2,2024-02,0
1396,2024-02-29,2024,2,2024-02,0
1397,2024-02-29,2024,2,2024-02,358
1398,2024-02-29,2024,2,2024-02,337
